"Name","State","Over25Earnings","Over25FemaleEarnings","Over25MaleEarnings","Pop"
"Elko County","NV","49268","35131","64434","53495"
"Newport County","RI","49195","37750","60260","80687"
"Fulton County","GA","49102","41999","58974","1105360"
"Washtenaw County","MI","49091","40568","57699","361955"
"El Dorado County","CA","49053","41365","55563","199134"
"Fairbanks North Star County","AK","49053","37332","60170","91701"
"Shelby County","AL","49022","38538","60291","224059"
"Washington County","WI","48934","38982","57520","137801"
"Stark County","ND","48905","31433","64159","33277"
"Litchfield County","CT","48891","40118","57281","178047"
"New Haven County","CT","48838","41757","55164","848115"
"Kent County","RI","48818","41926","55387","165009"
"Sterling County","TX","48802","32262","70194","1252"
"Galveston County","TX","48793","37964","60630","354982"
"Oconee County","GA","48793","35435","60454","42686"
"Hillsborough County","NH","48772","39503","57914","424210"
"Wake County","NC","48733","41407","57538","1173220"
"Prince George's County","MD","48720","48197","49159","908451"
"Orange County","NY","48676","40262","57470","393382"
"Sarpy County","NE","48576","38832","57002","196598"
"Goochland County","VA","48564","40966","56997","25355"
"St. Charles Parish","LA","48440","37615","62436","54075"
"Spotsylvania County","VA","48409","38414","59261","142827"
"Nantucket County","MA","48389","50298","47414","12002"
"Anoka County","MN","48356","41242","55641","367361"
"Sweetwater County","WY","48307","30107","63528","40798"
"Chisago County","MN","48291","40754","55051","58400"
"Williamson County","TX","48267","39054","57340","662815"
"Dutchess County","NY","48264","41261","54271","295055"
"Albany County","NY","48241","43481","53037","302269"
"Geauga County","OH","48239","35693","60641","92761"
"Jefferson County","WV","48199","35784","56245","57914"
"Cherokee County","GA","48184","36977","57797","273350"
"Dane County","WI","48083","42471","53427","560936"
"Albemarle County","VA","47984","41729","55969","112189"
"Borden County","TX","47981","35563","60500","675"
"Mercer County","ND","47969","27706","66168","7950"
"Hendricks County","IN","47909","38697","57675","180520"
"Delaware County","PA","47899","40740","55884","571295"
"Denver County","CO","47869","42622","52072","760049"
"Sherburne County","MN","47868","38136","59060","101081"
"Cecil County","MD","47829","37996","55643","103488"
"Burleigh County","ND","47717","40092","55904","96676"
"Hudson County","NJ","47686","40922","52744","673771"
"Clackamas County","OR","47685","37799","59041","426500"
"Medina County","OH","47576","36170","57440","182050"
"Bristol County","MA","47477","38984","54819","568592"
"Washington County","OR","47465","38487","57225","615656"
"Chesterfield County","VA","47390","41334","53864","366365"
"Cobb County","GA","47360","40945","53919","772354"
"Union County","NJ","47331","41198","53239","556158"
"Manassas Park","VA","47311","41033","52083","16758"
"McLean County","IL","47296","39058","54801","168838"
"Carson County","TX","47224","34979","57500","5683"
"Dunn County","ND","47220","31175","61574","4712"
"Rensselaer County","NY","47205","43016","51568","157007"
"Chittenden County","VT","47194","41641","53518","164383"
"Washington County","NE","47170","36668","56405","21065"
"New Castle County","DE","47152","40967","53204","562362"
"Calumet County","WI","47110","39503","54899","49960"
"McKenzie County","ND","47108","38878","53472","19314"
"Armstrong County","TX","46979","29615","63092","1911"
"Greenlee County","AZ","46976","30879","63003","9648"
"Clarke County","VA","46967","37392","53678","14943"
"Dukes County","MA","46947","40744","49844","17341"
"St. Johns County","FL","46916","36223","58483","297246"
"Travis County","TX","46901","41081","52625","1356100"
"Isle of Wight County","VA","46886","31314","56591","37520"
"Oliver County","ND","46758","32051","68625","2001"
"Woodford County","IL","46641","32858","57092","38255"
"Orange County","CA","46621","39696","53452","3174850"
"Andrews County","TX","46601","30554","64530","20787"
"Boone County","KY","46581","38961","55139","138621"
"Ocean County","NJ","46547","36316","56846","624310"
"Butler County","PA","46486","34997","57301","188498"
"Hancock County","IN","46350","39076","54188","83238"
"Towner County","ND","46332","30568","54512","2201"
"Napa County","CA","46310","40627","50972","134609"
"Hampshire County","MA","46095","41542","52493","159903"
"Frederick County","VA","46030","39566","52588","92733"
"New London County","CT","45992","36006","56625","261969"
"Solano County","CA","45979","39735","52953","453397"
"Spencer County","KY","45962","37533","50456","20341"
"Camden County","NJ","45876","40212","52623","506825"
"Orange County","NC","45860","40118","52008","149964"
"Humboldt County","NV","45845","25875","64590","16990"
"Gilpin County","CO","45840","39010","55791","6636"
"Matanuska-Susitna County","AK","45830","34814","55397","111923"
"Chesapeake City","VA","45787","38957","54298","252263"
"Suffolk","VA","45777","36438","56007","95507"
"Greene County","OH","45734","35478","54952","173410"
"Yolo County","CA","45701","39876","51862","221646"
"Porter County","IN","45688","31480","63710","173092"
"Ward County","ND","45642","36956","53206","67425"
"Roanoke County","VA","45630","39301","51630","94486"
"Arapahoe County","CO","45601","39756","52168","670969"
"Comal County","TX","45556","38051","53021","180413"
"Johnson County","IA","45552","40986","49471","152913"
"West Baton Rouge Parish","LA","45518","35692","54194","26660"
"Isanti County","MN","45503","36068","53201","42534"
"Merrimack County","NH","45479","39136","52854","153614"
"Sargent County","ND","45423","31818","51796","4039"
"Kitsap County","WA","45394","34787","56163","278064"
"Columbia County","GA","45390","39201","53068","164625"
"Pierce County","WA","45351","36924","53284","938652"
"Morton County","ND","45341","36419","54222","32282"
"Coweta County","GA","45324","34036","55074","156042"
"Fluvanna County","VA","45306","39865","50244","28386"
"Dodge County","MN","45288","39909","50547","21435"
"Traill County","ND","45286","31884","53117","8084"
"St. Louis County","MO","45277","38194","54080","991163"
"Cumberland County","PA","45252","37371","53052","260087"
"Union County","NC","45236","36360","55024","251946"
"Johnson County","IN","45236","36873","53833","164389"
"Clark County","WA","45227","35558","55039","508683"
"Clay County","MN","45182","37306","53011","64837"
