"Name","State","PovertyRate","Poverty","Pop"
"Toombs County","GA","0.2329","6198","26614"
"Macon County","GA","0.2328","2865","12308"
"Butler County","AL","0.2327","4397","18899"
"Hardee County","FL","0.2326","6105","26244"
"Clinton County","KY","0.2326","2423","10416"
"Barren County","KY","0.2322","10368","44651"
"Hempstead County","AR","0.2321","4892","21073"
"Swisher County","TX","0.2321","1706","7349"
"Johnson County","KY","0.2318","5003","21579"
"Wetzel County","WV","0.2317","3356","14483"
"Hopewell","VA","0.2316","5253","22682"
"New Madrid County","MO","0.2310","3809","16488"
"Real County","TX","0.2310","780","3377"
"Calhoun County","WV","0.2310","1567","6785"
"Macon County","AL","0.2308","3995","17309"
"Irwin County","GA","0.2307","2186","9476"
"Berrien County","GA","0.2306","4564","19790"
"Cook County","GA","0.2306","4051","17567"
"Danville","VA","0.2305","8813","38229"
"Orleans Parish","LA","0.2305","89340","387564"
"Hendry County","FL","0.2305","10159","44080"
"Tulare County","CA","0.2304","108512","471013"
"Lenoir County","NC","0.2299","12836","55826"
"Petersburg","VA","0.2299","7406","32216"
